Risque (points d'attention);Causes (facteurs potentiels à l'origine de ces points d'attention);Libellé PA (réponses ou solutions en cours pour couvrir les points d'attention identifiés);Nom Porteur;Email porteur;Date début;Date fin;Avancement du plan d'action;Statut du plan d'action;CONTRÔLE DESCRIPTION (réponses ou solutions aux points d'attention identifiés);Type de contrôle;Méthode de contrôle;Proba;Gravité;Finance;RH;Image;Juridik;Commercial;Criticité;Matirié
Risque de fraude;Positionnement de bonus pass data, crédit voix et sms pour des terminaux non éligibles;;;;;;;;Positionnement du bundle à J+1 par DSVC après extraction journalière de la base des clients ayant acheté le terminal.;Préventif;Manuelle;3;2;2;;1;;;;1
Risque de fraude;Double positionnement de bonus pass data, crédit voix et sms ;;;;;;;;Positionnement du bundle à J+1 par DSVC après extraction journalière de la base des clients ayant acheté le terminal.;Préventif;Manuelle;2;2;2;;1;;;;2
Risque de non tracabilité des opérations dans le SI;Constestation client sur le positionnement des bonus pass data, crédit voix et sms;Réaliser des tests pour s'assurer de la tracabilité des positionnement de bonus pour traiter les éventuels cas de constestation clients;Bintou LO;;;24/06/2018;;En cours;;;;2;1;;;1;;1;;2
Risque de mauvais traitement des réclamations;Non respect par Sonatel de la durée de validité de bonus pass data, crédit voix et sms communiquée aux clients;;;;;;;;Précision systématique des conditions de l'offre et de l'argumentaire de vente  de la durée de validité de bonus pass data, crédit voix et sms;Préventif;Automatique;1;2;;;2;;2;;3
Risque de non respect des engagements commerciaux;Retard ou rejet de positionnement de bonus pass data, crédit voix et sms;;;;;;;;Existence d'un monitoring des retards ou rejets de positionnement de bonus pass data, crédit voix et sms pour un traitement manuel ;Préventif;Manuelle;1;2;;;2;;2;;3
Risque de non respect des engagements commerciaux;Nombre de positionnement non défini avec les potentiels retours de terminaux durant la période de garantie;;;;;;;;Un seul positionnement est prévu dans une durée définie quelque soit le motif de retour des terminaux par les clients;Préventif;Manuelle;1;2;;;2;;2;;3
Risque de manque de performance économique des offres/projets;Oubli de désactivation SI de la fin de promotion de cette offre;Procéder à un paramétrage SI de la fin de promotion de cette offre à communiquer au réseau commercial et service client;Bintou LO;;;25/05/2018;;Non échu;;;;1;1;1;;1;;;;3
Risque de redressement fiscal;Octroi bonus couvrant la totalité ou une partie du prix d'achat des terminaux;;;;;;;;Echange entre ARQ/DMGP et DFC/FISC avec le fiscalité qui considère l'offre commercialisée sous forme ne constitue pas une gratuité pouvant aboutir à un redressement fiscal;Préventif;Manuelle;1;2;3;;3;1;;;3
