Site;Domaine;Activité/Equipement;Type;Propriétaire;Aspect;Mode Fonctionnement;Risque;Lieu;Manifestation;Dispositif de maitrise;Type de controle;Méthode de controle;Decription PA;Porteur;Date début;Date fin;Avancement;Statut;Probabilité/Exposition;Gravité;Criticité;Maturité
Podor;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Potou;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
République;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Richard Toll;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Rufisque CI;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Sacré-Cœur;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Saint -Louis CI eaux claires;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Saly;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Siège;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Talix;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Tamba CI;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Technopole;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Thiaroye;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Thiès E10;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Thies FH;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Tivaoune FH;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Tivaoune MUX;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Touba;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Zighinchor  FH;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Zighinchor CI;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Ziguinchor MUX;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
