Site;Domaine;Activité/Equipement;Type;Propriétaire;Aspect;Mode Fonctionnement;Risque;Lieu;Manifestation;Dispositif de maitrise;Type de controle;Méthode de controle;Decription PA;Porteur;Date début;Date fin;Avancement;Statut;Probabilité/Exposition;Gravité;Criticité;Maturité
Agence République;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Agence Rufisque;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Agence Saint-Louis;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Agence Sea plaza;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Agence Sédhiou;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Agence Tambacounda;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Agence Thiès;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Agence Tivaouane;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Agence Vélingara;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Agence Ziguinchor;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Bakel FH;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Bambey;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Cambérène;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Centre de Stockage de Rufisque (CSR);Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Dakar RP;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Darou mousty;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Datacenter;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Diourbel;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
DVRI;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Fatick FH;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Fondation;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Foyer Sacré-Cœur;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Gandoul;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Grand-Dakar;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Guediawaye;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Immeuble Dieynaba;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
