SITE;Domaine activité;Activité/ Equipement;Type ;Propriétaire;Danger;Mode de fonctionnement;Menace;Lieu;Manifestation;description du contrôle;Type du contrôle;Méthode du contrôle;Description du plan d'action ;Porteur plan d'action ;date de début du plan d'action ;date de fin du plan d'action ;Avancement du plan d'action;statut du plan d'action ;Type de contrôle;Méthode de contrôle;Probabilité;Gravité;Criticité;Maturité
"Camayenne
NODAL";Bâtiment;Bâtiment;1;Alhassane BALDE;RIA non encore opérationnel.;A;Risque d'incendie;Environnement immédiat;Brûlures;"RIA installé 
";Préventif;Manuel;réaliser des test sur de fonctionnement du RIA ;Yomba Camara;;31/07/2019;;non soldé ;Prévention;manuel ;1;4;;2
"Camayenne
NODAL";Intervention;Intervention/supervision ;1;;Déplacement du personnel en pleine nuit ;N;Risque d'agression physique;Poste de travail;Traumatisme;"Escorte pour les agents en astreinte 
presence de vigil au nieau  des sites pour assurer la securité.";Prévention;Manuel;;;;;;;;;1;4;;3
"Camayenne
NODAL";Parking ;Parking ;1;;Parking situé en déhors de la cour.;A;Risque d'agression physique;Poste de travail;Traumatisme;"Caméra installée au niveau de la cour 
Abris vigil installé derièrre la cour.";Prévention;Manuel;;;;;;;;;1;4;;3
"Camayenne
NODAL";Gestion des déchets;Ampoules ;2;;Fuite de mercure des néons cassés;A;Risque chimique;Poste de travail;Intoxication au mercure;"Recrutement d'un prestataire pour la gestion des déchets D3E 
Mise en place d'une procedure de gestion des dechets ";Protection;Manuel;;;;;;;;;2;2;;3
"Camayenne
NODAL";Toutes les activités;Toutes les activités;1;Alhassane BALDE;Position assise constante;N;Risque de troubles musculo squelettiques;Poste de travail;Mal de dos;;;;Faire une sensibilisation pour inciter les agents à se lever après chaque 2h.;DTR ;continue ;31/07/2019;;non soldé ;Prévention;manuel ;2;2;;2
"Camayenne
NODAL";Nettoyage;Assurer l'entretien et des locaux;1;;Poussières;A;Risque biologique;Poste de travail;Allergies, troubles respiratoires (asthme);La devanture du site a été bétonnée;Prévention;Manuel;;;;;;;;;2;2;;3
"Camayenne
NODAL";Bâtiment;Bâtiment;1;Alhassane BALDE;Prolifération de moustiques;A;Risque biologique;Environnement immédiat;Paludisme, allergie ;;Protection;Manuel;Désinfecter les locaux et mettre à disposition des bombes insecticides.;A Oumar Diallo ;15-oct;31/07/2019;;non soldé ;Prévention;manuel ;2;2;;3
"Camayenne
NODAL";hygiène;Toutes les activités;1;;Toilettes communes (Homme et Femme);A;Risque biologique;Environnement immédiat;Légionellose, infection bactérienne, infection mycosique;Nettoyage systématique  des toilettes par la techniciens;Protection;Manuel;;;;;;;;;2;2;;3
"Camayenne
NODAL";Intervention;Extracteur d'air;2;Alhassane BALDE;Absence d'extracteur d’air dans les salles battéries.;A;Risque chimique;Poste de travail;Intoxication, asphixie;Installation des split dans la salle ;Protection;Manuel;Voir faisabilité d'installer des extracteurs au niveau de la salle battérie.;I S Bouliwel;15-oct;31/07/2019;;non soldé ;Prévention;manuel ;2;2;;2
"Camayenne
NODAL";Intervention;Salles techniques;2;;Chute de la foudre;A;Risque d'électrisation/électrocution;Environnement immédiat;Brûlures;"Des paratonerres sont installé au niveau du site pour empecher la foudre de taper les équipements.
Des parafoudres et des mises à la terre  pour amorcer la tension du foudre vers le sol (pour éviter la destruction) les équipements techniques";Prévention;Manuel;;;;;;;;;1;4;;3
"Camayenne
NODAL";Intervention;Intervention;1;;Intervention en monôme ;A;Risque De chute de hauteur ;Poste de travail;Polytraumatisme (fracture, entorse, plaie ouverte…);Existence d'instruction interdisant le travail en monôme pour les travaux en hauteur et sur l'electricité. Cf guide d'intervention.;Protection;Manuel;;;;;;;;;1;3;;3
"Camayenne
NODAL";hygiène;Restauration;1;;Manque d'hygiène au niveau de la cuisine;A;Risque biologique;Environnement immédiat;Intoxication alimentaire;Le nettoyage de la cuisine est pris en charge par le s techniciens de surface ;Prévention;Manuel;;;;;;;;;1;3;;3
"Camayenne
NODAL";Intervention;Intervention;1;;Manutention (déplacement d'objets lourds);N;Risque de chute d'objet lourd ;Poste de travail;Traumatisme (fracture, entorse), douleurs musculaires;"
location de grues  pour la manutention des équipements lourds";Protection;Manuel;;;;;;;;;1;3;;3
"Camayenne
NODAL";Intervention;Intervention;1;;Manutention (déplacement d'objets lourds);N;Risque de troubles musculo squelettiques;Poste de travail;Douleurs musculaires, hernies discale, lombalgie;"
location de grues pour la manutention des équipements lourds";Prévention;Manuel;;;;;;;;;1;3;;3
"Camayenne
NODAL";Sécurité;Toutes les activités;1;;Présence de  rats dans les chemins de câbles et les goulottes ;A;Risque de court circuit;Environnement immédiat;Brulûre, intoxication;" 

Site régulièrement dératiser.";Protection;Manuel;;;;;;;;;1;3;;2
"Camayenne
NODAL";Nettoyage;Assurer l'entretien  locaux;1;; Non balisage du sol par les techniciens de surface ;A;Risque de chute de plain pied;Poste de travail;Traumatisme (fracture, entorse, plaie ouverte…);Balisage du sol par les techniciens de surface avant  intervention.;Prévention;Manuel;;;;;;;;;1;3;;2
"Camayenne
NODAL";intervention;Salles techniques;2;;Climatiseur HS;N;Risque de coup de chaleur;Poste de travail;Maux de tête, inconfort, anoxie, malaise;Tous les climatiseurs sont opérationnels et sont entretenu à travers un planing de maintenance.;Prévention;Manuel;;;;;;;;;1;3;;
"Camayenne
NODAL";Salle Technique ;Salle Technique ;2;Alhassane BALDE;Degagement d'odeur d'hydrogène dans la salle battérie.;A;Risque de nuisance olfactive ;Environnement immédiat;Gènes, inconfort;split installé dans la salle batterie ;;;Installer des extracteurs d'air au niveau de la salle battérie.;I S Bouliwel;15-oct;31/07/2019;;non soldé ;Prévention;manuel ;2;1;;3
"Camayenne
NODAL";Groupe Eléctrogene;Groupe Eléctrogene;2;;Bruit du groupe électrogène;N;Risque de nuisance sonore;Poste de travail;Inconfort;les GE sont capotés et insonorisés;Prevention;Manuel;;;;;;;;;2;1;;3
"Camayenne
NODAL";Energie;Toutes les activités;1;;Coupure d’électricité ;A;Risque de coup de chaleur;Poste de travail;Maux de tête, inconfort,;"Les Groupes electrogènes prennent automatiquement le relais et prennent en compte la climatisation
Entretient réguliers des climatiseurs";Prévention;Manuel;;;;;;;;;1;2;;3
"Camayenne
NODAL";Hygiène;Réservoir;2;;Défaut d'entretien des réservoirs d'eau ;A;Risque biologique;Environnement immédiat;Intoxication digestive, parasitose;"Il existe un planning d'entretien des réservoirs d'eau effectué par un prestataire.
";Prévention;Manuel;;;;;;;;;1;2;;2
